Position;Position_1;Position_2;Team_Name;Team_ID;Team_Logo;Victories;Draws_With_Goals;Draws_Without_Goals;Defeats;Score_Normal;Score_Type1;Score_Type2;Pro_goals;Own_goals;Goals_difference;Variation_1;Variation_2;Position_Variation_1;Position_Variation_2
0;0;0;Cuiaba;1193;https://media.api-sports.io/football/teams/1193.png;10;8;9;11;0;0;0;34;37;0;0;0;0;0
0;0;0;Juventude;152;https://media.api-sports.io/football/teams/152.png;11;10;3;14;0;0;0;36;44;0;0;0;0;0
0;0;0;Bahia;118;https://media.api-sports.io/football/teams/118.png;11;4;6;17;0;0;0;42;51;0;0;0;0;0
0;0;0;Santos;128;https://media.api-sports.io/football/teams/128.png;12;7;7;12;0;0;0;35;40;0;0;0;0;0
0;0;0;Sao Paulo;126;https://media.api-sports.io/football/teams/126.png;11;8;7;12;0;0;0;31;39;0;0;0;0;0
0;0;0;Fluminense;124;https://media.api-sports.io/football/teams/124.png;15;6;3;14;0;0;0;38;38;0;0;0;0;0
0;0;0;Atletico-MG;1062;https://media.api-sports.io/football/teams/1062.png;26;5;1;6;0;0;0;67;34;0;0;0;0;0
0;0;0;Fortaleza EC;154;https://media.api-sports.io/football/teams/154.png;17;4;3;14;0;0;0;44;45;0;0;0;0;0
0;0;0;Flamengo;127;https://media.api-sports.io/football/teams/127.png;21;7;1;9;0;0;0;69;36;0;0;0;0;0
0;0;0;Palmeiras;121;https://media.api-sports.io/football/teams/121.png;20;3;3;12;0;0;0;58;43;0;0;0;0;0
0;0;0;Ceara;129;https://media.api-sports.io/football/teams/129.png;11;8;9;10;0;0;0;39;38;0;0;0;0;0
0;0;0;Gremio;130;https://media.api-sports.io/football/teams/130.png;12;5;2;19;0;0;0;44;51;0;0;0;0;0
0;0;0;Corinthians;131;https://media.api-sports.io/football/teams/131.png;15;9;3;11;0;0;0;40;36;0;0;0;0;0
0;0;0;Atletico Goianiense;144;https://media.api-sports.io/football/teams/144.png;13;7;7;11;0;0;0;33;36;0;0;0;0;0
0;0;0;Chapecoense-sc;132;https://media.api-sports.io/football/teams/132.png;1;9;3;25;0;0;0;27;67;0;0;0;0;0
0;0;0;RB Bragantino;794;https://media.api-sports.io/football/teams/794.png;14;12;2;10;0;0;0;55;46;0;0;0;0;0
0;0;0;Atletico Paranaense;134;https://media.api-sports.io/football/teams/134.png;13;5;3;17;0;0;0;41;45;0;0;0;0;0
0;0;0;America Mineiro;125;https://media.api-sports.io/football/teams/125.png;13;9;5;11;0;0;0;41;37;0;0;0;0;0
0;0;0;Internacional;119;https://media.api-sports.io/football/teams/119.png;12;8;4;14;0;0;0;44;42;0;0;0;0;0
0;0;0;Sport Recife;123;https://media.api-sports.io/football/teams/123.png;9;4;7;18;0;0;0;24;37;0;0;0;0;0
