Position;Position_1;Position_2;Team_Name;Team_ID;Team_Logo;Victories;Draws_With_Goals;Draws_Without_Goals;Defeats;Score_Normal;Score_Type1;Score_Type2;Pro_goals;Own_goals;Goals_difference;Variation_1;Variation_2;Position_Variation_1;Position_Variation_2
1;1;1;Atletico-MG;1062;https://media.api-sports.io/football/teams/1062.png;26;5;1;6;84;83;89;67;34;33;-0.011904761904761904;0.05952380952380952;0;0
2;2;2;Flamengo;127;https://media.api-sports.io/football/teams/127.png;21;7;1;9;71;70;78;69;36;33;-0.014084507042253521;0.09859154929577464;0;0
3;3;3;Palmeiras;121;https://media.api-sports.io/football/teams/121.png;20;3;3;12;66;63;69;58;43;15;-0.045454545454545456;0.045454545454545456;0;0
6;6;4;RB Bragantino;794;https://media.api-sports.io/football/teams/794.png;14;12;2;10;56;54;68;55;46;9;-0.03571428571428571;0.21428571428571427;0;2
5;5;5;Corinthians;131;https://media.api-sports.io/football/teams/131.png;15;9;3;11;57;54;66;40;36;4;-0.05263157894736842;0.15789473684210525;0;0
4;4;6;Fortaleza EC;154;https://media.api-sports.io/football/teams/154.png;17;4;3;14;58;55;62;44;45;-1;-0.05172413793103448;0.06896551724137931;0;-2
8;8;7;America Mineiro;125;https://media.api-sports.io/football/teams/125.png;13;9;5;11;53;48;62;41;37;4;-0.09433962264150944;0.16981132075471697;0;1
7;7;8;Fluminense;124;https://media.api-sports.io/football/teams/124.png;15;6;3;14;54;51;60;38;38;0;-0.05555555555555555;0.1111111111111111;0;-1
9;9;9;Atletico Goianiense;144;https://media.api-sports.io/football/teams/144.png;13;7;7;11;53;46;60;33;36;-3;-0.1320754716981132;0.1320754716981132;0;0
11;15;10;Ceara;129;https://media.api-sports.io/football/teams/129.png;11;8;9;10;50;41;58;39;38;1;-0.18;0.16;-4;1
10;12;11;Santos;128;https://media.api-sports.io/football/teams/128.png;12;7;7;12;50;43;57;35;40;-5;-0.14;0.14;-2;-1
12;11;12;Internacional;119;https://media.api-sports.io/football/teams/119.png;12;8;4;14;48;44;56;44;42;2;-0.08333333333333333;0.16666666666666666;1;0
16;13;13;Juventude;152;https://media.api-sports.io/football/teams/152.png;11;10;3;14;46;43;56;36;44;-8;-0.06521739130434782;0.21739130434782608;3;3
13;16;14;Sao Paulo;126;https://media.api-sports.io/football/teams/126.png;11;8;7;12;48;41;56;31;39;-8;-0.14583333333333334;0.16666666666666666;-3;-1
15;17;15;Cuiaba;1193;https://media.api-sports.io/football/teams/1193.png;10;8;9;11;47;38;55;34;37;-3;-0.19148936170212766;0.1702127659574468;-2;0
14;10;16;Atletico Paranaense;134;https://media.api-sports.io/football/teams/134.png;13;5;3;17;47;44;52;41;45;-4;-0.06382978723404255;0.10638297872340426;4;-2
17;14;17;Gremio;130;https://media.api-sports.io/football/teams/130.png;12;5;2;19;43;41;48;44;51;-7;-0.046511627906976744;0.11627906976744186;3;0
18;18;18;Bahia;118;https://media.api-sports.io/football/teams/118.png;11;4;6;17;43;37;47;42;51;-9;-0.13953488372093023;0.09302325581395349;0;0
19;19;19;Sport Recife;123;https://media.api-sports.io/football/teams/123.png;9;4;7;18;38;31;42;24;37;-13;-0.18421052631578946;0.10526315789473684;0;0
20;20;20;Chapecoense-sc;132;https://media.api-sports.io/football/teams/132.png;1;9;3;25;15;12;24;27;67;-40;-0.2;0.6;0;0
